yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Export,Qatar,World,96.0,Miscellaneous manufactured articles,1327313.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016.0,Export,Qatar,Australia,96.0,Miscellaneous manufactured articles,23542.0,,25.3336984,51.2295295,-24.7761086,134.755
2016,2016.0,Export,Qatar,Brazil,96.0,Miscellaneous manufactured articles,51539.0,,25.3336984,51.2295295,-10.3333333,-53.2
2016,2016.0,Export,Qatar,France,96.0,Miscellaneous manufactured articles,14103.0,,25.3336984,51.2295295,46.603354,1.8883335
2016,2016.0,Export,Qatar,Germany,96.0,Miscellaneous manufactured articles,326571.0,,25.3336984,51.2295295,51.1638175,10.4478313
2016,2016.0,Export,Qatar,Italy,96.0,Miscellaneous manufactured articles,35055.0,,25.3336984,51.2295295,42.6384261,12.674297
2016,2016.0,Export,Qatar,Saudi Arabia,96.0,Miscellaneous manufactured articles,51200.0,,25.3336984,51.2295295,25.6242618,42.3528328
2016,2016.0,Export,Qatar,Switzerland,96.0,Miscellaneous manufactured articles,13878.0,,25.3336984,51.2295295,46.7985624,8.2319736
2016,2016.0,Export,Qatar,United Arab Emirates,96.0,Miscellaneous manufactured articles,659001.0,,25.3336984,51.2295295,24.0002488,53.9994829
2016,2016.0,Export,Qatar,Turkey,96.0,Miscellaneous manufactured articles,34652.0,,25.3336984,51.2295295,38.9597594,34.9249653
2016,2016.0,Export,Qatar,Egypt,96.0,Miscellaneous manufactured articles,33204.0,,25.3336984,51.2295295,26.2540493,29.2675469
2016,2016.0,Export,Qatar,United Kingdom,96.0,Miscellaneous manufactured articles,20626.0,,25.3336984,51.2295295,54.7023545,-3.2765753
2016,2016.0,Export,Qatar,USA,96.0,Miscellaneous manufactured articles,63935.0,,25.3336984,51.2295295,39.7837304,-100.445882
