yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,538999,26.8234472,18.1236723,-16.85099460447687,133.4130365630627
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,498830,26.8234472,18.1236723,37.977378106878206,73.97804075806764
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,5784556,26.8234472,18.1236723,51.67568633314729,27.673469819741847
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,22289958,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,6231295,26.8234472,18.1236723,17.925141963241547,-78.01492950057497
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,313280,26.8234472,18.1236723,43.897683433510366,-100.08947125585888
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,2005961,26.8234472,18.1236723,59.36075159783851,25.01346951967388
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,3098313,26.8234472,18.1236723,10.528384761701911,103.08333472012376
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3192660,26.8234472,18.1236723,40.12399607988535,20.742583178432696
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,7908314,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,77628,26.8234472,18.1236723,26.42921218083572,52.86847103284948
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,22831071,26.8234472,18.1236723,47.92172048214207,7.866753258497997
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;,World,World,92198598,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;, Algeria, Algeria,104893,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,6101,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;, Malta, Malta,14076,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;, Morocco, Morocco,1219871,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,97490,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,1274092,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,368644,26.8234472,18.1236723,,
2007,2007,Import,Libya,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,617990,26.8234472,18.1236723,,
