yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,57895791,33.0955793,44.1749775,37.977378106878206,73.97804075806764
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,45000,33.0955793,44.1749775,51.67568633314729,27.673469819741847
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,6245326,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,20734401,33.0955793,44.1749775,43.897683433510366,-100.08947125585888
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1034465,33.0955793,44.1749775,59.36075159783851,25.01346951967388
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,184485,33.0955793,44.1749775,10.528384761701911,103.08333472012376
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,211263075,33.0955793,44.1749775,25.499703063807168,75.5024015339642
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,2710241,33.0955793,44.1749775,40.12399607988535,20.742583178432696
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,17423,33.0955793,44.1749775,6.06272746187266,22.727528470146083
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,5000,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1677180,33.0955793,44.1749775,26.42921218083572,52.86847103284948
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,2519880,33.0955793,44.1749775,47.92172048214207,7.866753258497997
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials,World,World,1132720471,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,22346,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,884378,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,2893107,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,15755,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,2143379,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,8582142,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,892166,33.0955793,44.1749775,,
2014,2014,Import,Iraq,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,606084945,33.0955793,44.1749775,,
