yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Saudi Arabia,World,91,Clocks and watches and parts thereof,530904396,,,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,Canada,91,Clocks and watches and parts thereof,58400,,,61.0666922,-107.991707
2016,2016,Import,Saudi Arabia,China,91,Clocks and watches and parts thereof,99813991,,,35.000074,104.999927
2016,2016,Import,Saudi Arabia,France,91,Clocks and watches and parts thereof,2080269,,,46.603354,1.8883335
2016,2016,Import,Saudi Arabia,Germany,91,Clocks and watches and parts thereof,1310401,,,51.1638175,10.4478313
2016,2016,Import,Saudi Arabia,"China, Hong Kong SAR",91,Clocks and watches and parts thereof,768800,,,22.350627,114.1849161
2016,2016,Import,Saudi Arabia,Italy,91,Clocks and watches and parts thereof,138933,,,42.6384261,12.674297
2016,2016,Import,Saudi Arabia,Japan,91,Clocks and watches and parts thereof,18500556,,,36.5748441,139.2394179
2016,2016,Import,Saudi Arabia,Dem. People's Rep. of Korea,91,Clocks and watches and parts thereof,283467,,,,
2016,2016,Import,Saudi Arabia,Rep. of Korea,91,Clocks and watches and parts thereof,1398935,,,,
2016,2016,Import,Saudi Arabia,Malaysia,91,Clocks and watches and parts thereof,130133,,,4.5693754,102.2656823
2016,2016,Import,Saudi Arabia,Mexico,91,Clocks and watches and parts thereof,51733,,,23.6585116,-102.0077097
2016,2016,Import,Saudi Arabia,"Other Asia, nes",91,Clocks and watches and parts thereof,383200,,,,
2016,2016,Import,Saudi Arabia,Pakistan,91,Clocks and watches and parts thereof,80800,,,30.3308401,71.247499
2016,2016,Import,Saudi Arabia,Philippines,91,Clocks and watches and parts thereof,4928272,,,12.7503486,122.7312101
2016,2016,Import,Saudi Arabia,India,91,Clocks and watches and parts thereof,3760538,,,22.3511148,78.6677428
2016,2016,Import,Saudi Arabia,Singapore,91,Clocks and watches and parts thereof,85866,,,1.357107,103.8194992
2016,2016,Import,Saudi Arabia,Viet Nam,91,Clocks and watches and parts thereof,46666,,,15.9266657,107.9650855
2016,2016,Import,Saudi Arabia,South Africa,91,Clocks and watches and parts thereof,50133,,,-28.8166236,24.991639
2016,2016,Import,Saudi Arabia,Spain,91,Clocks and watches and parts thereof,36800,,,39.3260685,-4.8379791
2016,2016,Import,Saudi Arabia,Sweden,91,Clocks and watches and parts thereof,98400,,,59.6749712,14.5208584
2016,2016,Import,Saudi Arabia,Switzerland,91,Clocks and watches and parts thereof,376586337,,,46.7985624,8.2319736
2016,2016,Import,Saudi Arabia,Thailand,91,Clocks and watches and parts thereof,4993872,,,14.8971921,100.83273
2016,2016,Import,Saudi Arabia,United Arab Emirates,91,Clocks and watches and parts thereof,8551477,,,24.0002488,53.9994829
2016,2016,Import,Saudi Arabia,Turkey,91,Clocks and watches and parts thereof,30400,,,38.9597594,34.9249653
2016,2016,Import,Saudi Arabia,United Kingdom,91,Clocks and watches and parts thereof,1108534,,,54.7023545,-3.2765753
2016,2016,Import,Saudi Arabia,USA,91,Clocks and watches and parts thereof,5455206,,,,
2016,2016,Import,Saudi Arabia,"Areas, nes",91,Clocks and watches and parts thereof,172266,,,,
