yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,169867,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,184800,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,2390137,25.6242618,42.3528328,19.569604022535763,12.47761721199581
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,65333,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,357600,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,39733,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,167733,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,24424563,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,853067,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,820535,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2004,2004,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,World,World,322352670,25.6242618,42.3528328,,
