yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Australia and New Zealand,Oceania,1236707,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Eastern Asia,Asia,21474405,30.3308401,71.247499,37.977378106878206,73.97804075806764
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Eastern Europe,Europe,285092,30.3308401,71.247499,51.67568633314729,27.673469819741847
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Latin America and the Caribbean,Americas,294247,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Northern Africa,Africa,2434159,30.3308401,71.247499,19.569604022535763,12.47761721199581
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Northern America,Americas,6282885,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Northern Europe,Europe,2308400,30.3308401,71.247499,59.36075159783851,25.01346951967388
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",South-eastern Asia,Asia,2065544,30.3308401,71.247499,10.528384761701911,103.08333472012376
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Southern Asia,Asia,62699,30.3308401,71.247499,25.499703063807168,75.5024015339642
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Southern Europe,Europe,1352243,30.3308401,71.247499,40.12399607988535,20.742583178432696
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Sub-Saharan Africa,Africa,78210,30.3308401,71.247499,6.06272746187266,22.727528470146083
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Western Asia,Asia,134285,30.3308401,71.247499,26.42921218083572,52.86847103284948
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",Western Europe,Europe,4267079,30.3308401,71.247499,47.92172048214207,7.866753258497997
2006,2006,Import,Pakistan,59,"Impregnated, coated, covered or laminated textile fabrics",World,World,47484704,30.3308401,71.247499,,
