yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,259865,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,85912,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,17782,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,187066,21.0000287,57.0036901,19.569604022535763,12.47761721199581
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,14843,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,107831,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,2024077,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,9574877,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,192788,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,134851,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2009,2009,Export,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,200460703,21.0000287,57.0036901,,
