yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,728934,25.62,42.35,37.977378106878206,73.97804075806764
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,54717,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,95287,25.62,42.35,10.528384761701911,103.08333472012376
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,92084,25.62,42.35,25.499703063807168,75.5024015339642
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,76070,25.62,42.35,6.06272746187266,22.727528470146083
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,126926056,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,53999031,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,8239809,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,11344518,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,31762,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,431862,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,24673787,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,11924516,25.62,42.35,,
2005,2005,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,14999331,25.62,42.35,,
