yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,26775560,,,-36.8535712,174.7456809
2019,2019,Re-Export,Oman,Bahrain,64,Footwear; gaiters and the like; parts of such articles,30291,,,26.1551249,50.5344606
2019,2019,Re-Export,Oman,Bulgaria,64,Footwear; gaiters and the like; parts of such articles,130,,,42.6073975,25.4856617
2019,2019,Re-Export,Oman,China,64,Footwear; gaiters and the like; parts of such articles,1667,,,35.000074,104.999927
2019,2019,Re-Export,Oman,France,64,Footwear; gaiters and the like; parts of such articles,18,,,46.603354,1.8883335
2019,2019,Re-Export,Oman,Germany,64,Footwear; gaiters and the like; parts of such articles,161,,,51.1638175,10.4478313
2019,2019,Re-Export,Oman,Iran,64,Footwear; gaiters and the like; parts of such articles,1592847,,,32.6475314,54.5643516
2019,2019,Re-Export,Oman,Iraq,64,Footwear; gaiters and the like; parts of such articles,1602,,,33.0955793,44.1749775
2019,2019,Re-Export,Oman,Kuwait,64,Footwear; gaiters and the like; parts of such articles,1201,,,29.2733964,47.4979476
2019,2019,Re-Export,Oman,Portugal,64,Footwear; gaiters and the like; parts of such articles,491,,,39.6621648,-8.1353519
2019,2019,Re-Export,Oman,Qatar,64,Footwear; gaiters and the like; parts of such articles,21238458,,,25.3336984,51.2295295
2019,2019,Re-Export,Oman,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,21001,,,25.6242618,42.3528328
2019,2019,Re-Export,Oman,India,64,Footwear; gaiters and the like; parts of such articles,17516,,,22.3511148,78.6677428
2019,2019,Re-Export,Oman,Somalia,64,Footwear; gaiters and the like; parts of such articles,2969112,,,8.3676771,49.083416
2019,2019,Re-Export,Oman,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,869583,,,24.0002488,53.9994829
2019,2019,Re-Export,Oman,Yemen,64,Footwear; gaiters and the like; parts of such articles,31477,,,16.3471243,47.8915271
