yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,United Arab Emirates,31,Fertilizers,Australia and New Zealand,Oceania,42859,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2003,2003,Import,United Arab Emirates,31,Fertilizers,Eastern Asia,Asia,2243370,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2003,2003,Import,United Arab Emirates,31,Fertilizers,Eastern Europe,Europe,16397,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2003,2003,Import,United Arab Emirates,31,Fertilizers,Latin America and the Caribbean,Americas,1095127,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2003,2003,Import,United Arab Emirates,31,Fertilizers,Northern Africa,Africa,499736,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2003,2003,Import,United Arab Emirates,31,Fertilizers,Northern America,Americas,365717,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2003,2003,Import,United Arab Emirates,31,Fertilizers,Northern Europe,Europe,3102295,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2003,2003,Import,United Arab Emirates,31,Fertilizers,South-eastern Asia,Asia,71,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2003,2003,Import,United Arab Emirates,31,Fertilizers,Southern Asia,Asia,319021,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2003,2003,Import,United Arab Emirates,31,Fertilizers,Southern Europe,Europe,439826,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2003,2003,Import,United Arab Emirates,31,Fertilizers,Sub-Saharan Africa,Africa,40764,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2003,2003,Import,United Arab Emirates,31,Fertilizers,Western Asia,Asia,16020,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2003,2003,Import,United Arab Emirates,31,Fertilizers,Western Europe,Europe,1842242,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2003,2003,Import,United Arab Emirates,31,Fertilizers,World,World,18959703,24.0002488,53.9994829,,
