yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,135734,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,168800,25.62,42.35,6.06272746187266,22.727528470146083
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,39467,25.62,42.35,26.42921218083572,52.86847103284948
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,392267,25.62,42.35,47.92172048214207,7.866753258497997
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,10377080,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,28533,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Djibouti, Djibouti,261867,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,297867,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,4588806,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,1388002,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,556801,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,63467,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,32533,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,914401,25.62,42.35,,
2011,2011,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,1419202,25.62,42.35,,
