yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Australia and New Zealand,Oceania,70448063,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Eastern Asia,Asia,11063854,30.3308401,71.247499,37.977378106878206,73.97804075806764
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Eastern Europe,Europe,103204559,30.3308401,71.247499,51.67568633314729,27.673469819741847
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Latin America and the Caribbean,Americas,114901466,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Northern Africa,Africa,23491869,30.3308401,71.247499,19.569604022535763,12.47761721199581
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Northern America,Americas,359979297,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Northern Europe,Europe,997963,30.3308401,71.247499,59.36075159783851,25.01346951967388
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",South-eastern Asia,Asia,5250264,30.3308401,71.247499,10.528384761701911,103.08333472012376
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Southern Asia,Asia,2195934,30.3308401,71.247499,25.499703063807168,75.5024015339642
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Southern Europe,Europe,1358245,30.3308401,71.247499,40.12399607988535,20.742583178432696
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Sub-Saharan Africa,Africa,2237053,30.3308401,71.247499,6.06272746187266,22.727528470146083
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Western Asia,Asia,1172098,30.3308401,71.247499,26.42921218083572,52.86847103284948
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",Western Europe,Europe,3223381,30.3308401,71.247499,47.92172048214207,7.866753258497997
2015,2015,Import,Pakistan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",World,World,784898636,30.3308401,71.247499,,
