yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Export,Kuwait,World,83.0,Miscellaneous articles of base metal,1628292.0,,29.2733964,47.4979476,-36.8535712,174.7456809
2009,2009.0,Export,Kuwait,Afghanistan,83.0,Miscellaneous articles of base metal,7870.0,,29.2733964,47.4979476,33.7680065,66.2385139
2009,2009.0,Export,Kuwait,Algeria,83.0,Miscellaneous articles of base metal,31.0,,29.2733964,47.4979476,28.0000272,2.9999825
2009,2009.0,Export,Kuwait,Bahrain,83.0,Miscellaneous articles of base metal,347807.0,,29.2733964,47.4979476,26.1551249,50.5344606
2009,2009.0,Export,Kuwait,China,83.0,Miscellaneous articles of base metal,6712.0,,29.2733964,47.4979476,35.000074,104.999927
2009,2009.0,Export,Kuwait,Czechia,83.0,Miscellaneous articles of base metal,1043.0,,29.2733964,47.4979476,49.7439047,15.3381061
2009,2009.0,Export,Kuwait,Denmark,83.0,Miscellaneous articles of base metal,1523.0,,29.2733964,47.4979476,55.670249,10.3333283
2009,2009.0,Export,Kuwait,France,83.0,Miscellaneous articles of base metal,539.0,,29.2733964,47.4979476,46.603354,1.8883335
2009,2009.0,Export,Kuwait,Germany,83.0,Miscellaneous articles of base metal,82176.0,,29.2733964,47.4979476,51.1638175,10.4478313
2009,2009.0,Export,Kuwait,"China, Hong Kong SAR",83.0,Miscellaneous articles of base metal,32098.0,,29.2733964,47.4979476,22.350627,114.1849161
2009,2009.0,Export,Kuwait,Iran,83.0,Miscellaneous articles of base metal,14526.0,,29.2733964,47.4979476,32.6475314,54.5643516
2009,2009.0,Export,Kuwait,Ireland,83.0,Miscellaneous articles of base metal,257.0,,29.2733964,47.4979476,52.865196,-7.9794599
2009,2009.0,Export,Kuwait,Italy,83.0,Miscellaneous articles of base metal,640.0,,29.2733964,47.4979476,42.6384261,12.674297
2009,2009.0,Export,Kuwait,Jordan,83.0,Miscellaneous articles of base metal,5512.0,,29.2733964,47.4979476,31.1667049,36.941628
2009,2009.0,Export,Kuwait,Lebanon,83.0,Miscellaneous articles of base metal,23470.0,,29.2733964,47.4979476,33.8750629,35.843409
2009,2009.0,Export,Kuwait,Oman,83.0,Miscellaneous articles of base metal,13222.0,,29.2733964,47.4979476,21.0000287,57.0036901
2009,2009.0,Export,Kuwait,Netherlands,83.0,Miscellaneous articles of base metal,6649.0,,29.2733964,47.4979476,52.2434979,5.6343227
2009,2009.0,Export,Kuwait,Philippines,83.0,Miscellaneous articles of base metal,2087.0,,29.2733964,47.4979476,12.7503486,122.7312101
2009,2009.0,Export,Kuwait,Qatar,83.0,Miscellaneous articles of base metal,68812.0,,29.2733964,47.4979476,25.3336984,51.2295295
2009,2009.0,Export,Kuwait,Saudi Arabia,83.0,Miscellaneous articles of base metal,634007.0,,29.2733964,47.4979476,25.6242618,42.3528328
2009,2009.0,Export,Kuwait,India,83.0,Miscellaneous articles of base metal,7720.0,,29.2733964,47.4979476,22.3511148,78.6677428
2009,2009.0,Export,Kuwait,Singapore,83.0,Miscellaneous articles of base metal,3279.0,,29.2733964,47.4979476,1.357107,103.8194992
2009,2009.0,Export,Kuwait,Switzerland,83.0,Miscellaneous articles of base metal,5512.0,,29.2733964,47.4979476,46.7985624,8.2319736
2009,2009.0,Export,Kuwait,Syria,83.0,Miscellaneous articles of base metal,1965.0,,29.2733964,47.4979476,34.6401861,39.0494106
2009,2009.0,Export,Kuwait,United Arab Emirates,83.0,Miscellaneous articles of base metal,337349.0,,29.2733964,47.4979476,24.0002488,53.9994829
2009,2009.0,Export,Kuwait,Turkey,83.0,Miscellaneous articles of base metal,101.0,,29.2733964,47.4979476,38.9597594,34.9249653
2009,2009.0,Export,Kuwait,Egypt,83.0,Miscellaneous articles of base metal,7258.0,,29.2733964,47.4979476,26.2540493,29.2675469
2009,2009.0,Export,Kuwait,United Kingdom,83.0,Miscellaneous articles of base metal,11532.0,,29.2733964,47.4979476,54.7023545,-3.2765753
2009,2009.0,Export,Kuwait,Free Zones,83.0,Miscellaneous articles of base metal,2646.0,,29.2733964,47.4979476,5.57675525,-0.1653113957934536
2009,2009.0,Export,Kuwait,USA,83.0,Miscellaneous articles of base metal,348.0,,29.2733964,47.4979476,39.7837304,-100.445882
2009,2009.0,Export,Kuwait,Yemen,83.0,Miscellaneous articles of base metal,1600.0,,29.2733964,47.4979476,16.3471243,47.8915271
