yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,8736770,,,-36.8535712,174.7456809
2016,2016,Export,Kuwait,Albania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,251,,,41.000028,19.9999619
2016,2016,Export,Kuwait,Bahrain,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,17821,,,26.1551249,50.5344606
2016,2016,Export,Kuwait,Canada,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31841,,,61.0666922,-107.991707
2016,2016,Export,Kuwait,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,330,,,35.000074,104.999927
2016,2016,Export,Kuwait,Benin,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1554,,,9.5293472,2.2584408
2016,2016,Export,Kuwait,Iran,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2704038,,,32.6475314,54.5643516
2016,2016,Export,Kuwait,Iraq,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,319482,,,33.0955793,44.1749775
2016,2016,Export,Kuwait,Jordan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,371031,,,31.1667049,36.941628
2016,2016,Export,Kuwait,Lebanon,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,34286,,,33.8750629,35.843409
2016,2016,Export,Kuwait,Mauritania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1012,,,20.2540382,-9.2399263
2016,2016,Export,Kuwait,Mongolia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2646,,,46.8250388,103.8499736
2016,2016,Export,Kuwait,Oman,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,25856,,,21.0000287,57.0036901
2016,2016,Export,Kuwait,Netherlands,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1313166,,,52.2434979,5.6343227
2016,2016,Export,Kuwait,Pakistan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,381746,,,30.3308401,71.247499
2016,2016,Export,Kuwait,Portugal,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,93195,,,39.6621648,-8.1353519
2016,2016,Export,Kuwait,Qatar,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,12511,,,25.3336984,51.2295295
2016,2016,Export,Kuwait,Saudi Arabia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2659391,,,25.6242618,42.3528328
2016,2016,Export,Kuwait,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,41971,,,24.0002488,53.9994829
2016,2016,Export,Kuwait,Turkey,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,64526,,,38.9597594,34.9249653
2016,2016,Export,Kuwait,Egypt,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,106600,,,26.2540493,29.2675469
2016,2016,Export,Kuwait,United Kingdom,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,553418,,,54.7023545,-3.2765753
2016,2016,Export,Kuwait,USA,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,89,,,,
