yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,4000,33.8750629,35.843409,-16.85099460447687,133.4130365630627
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,2000,33.8750629,35.843409,37.977378106878206,73.97804075806764
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,47000,33.8750629,35.843409,51.67568633314729,27.673469819741847
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,10000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,38000,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,102000,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,46000,33.8750629,35.843409,59.36075159783851,25.01346951967388
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2000,33.8750629,35.843409,40.12399607988535,20.742583178432696
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,826000,33.8750629,35.843409,6.06272746187266,22.727528470146083
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,32000,33.8750629,35.843409,26.42921218083572,52.86847103284948
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,151000,33.8750629,35.843409,47.92172048214207,7.866753258497997
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,World,World,4647000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Algeria, Algeria,2000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,148000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,2000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,1029000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,179000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,869000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Mauritania, Mauritania,1000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Morocco, Morocco,1000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,78000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,104000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,92000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,265000,33.8750629,35.843409,,
2005,2005,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,2000,33.8750629,35.843409,,
