yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,68,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,653366,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,3796,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,117598,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,1158,34.9823018,33.1451285,19.569604022535763,12.47761721199581
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,173687,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,928453,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,17040,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,5395224,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,34,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,4810,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2787506,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2010,2010,Import,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,10450249,34.9823018,33.1451285,,
