yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Eastern Asia,Asia,13935000,33.8750629,35.843409,37.977378106878206,73.97804075806764
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Eastern Europe,Europe,53597000,33.8750629,35.843409,51.67568633314729,27.673469819741847
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Latin America and the Caribbean,Americas,2696000,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Northern Africa,Africa,397000,33.8750629,35.843409,19.569604022535763,12.47761721199581
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Northern America,Americas,9030000,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Northern Europe,Europe,1118000,33.8750629,35.843409,59.36075159783851,25.01346951967388
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,South-eastern Asia,Asia,9333000,33.8750629,35.843409,10.528384761701911,103.08333472012376
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Southern Asia,Asia,21000,33.8750629,35.843409,25.499703063807168,75.5024015339642
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Southern Europe,Europe,23835000,33.8750629,35.843409,40.12399607988535,20.742583178432696
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Sub-Saharan Africa,Africa,9397000,33.8750629,35.843409,6.06272746187266,22.727528470146083
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Western Asia,Asia,1903000,33.8750629,35.843409,26.42921218083572,52.86847103284948
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,Western Europe,Europe,6550000,33.8750629,35.843409,47.92172048214207,7.866753258497997
2005,2005,Import,Lebanon,44,Wood and articles of wood; wood charcoal,World,World,132948000,33.8750629,35.843409,,
