yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2018,2018.0,Import,Kuwait,World,1.0,Animals; live,218769772.0,,29.2733964,47.4979476,-36.8535712,174.7456809
2018,2018.0,Import,Kuwait,Azerbaijan,1.0,Animals; live,352.0,,29.2733964,47.4979476,40.3936294,47.7872508
2018,2018.0,Import,Kuwait,Australia,1.0,Animals; live,30747925.0,,29.2733964,47.4979476,-24.7761086,134.755
2018,2018.0,Import,Kuwait,Austria,1.0,Animals; live,11345.0,,29.2733964,47.4979476,47.59397,14.12456
2018,2018.0,Import,Kuwait,Bahrain,1.0,Animals; live,78695.0,,29.2733964,47.4979476,26.1551249,50.5344606
2018,2018.0,Import,Kuwait,Armenia,1.0,Animals; live,211875.0,,29.2733964,47.4979476,40.7696272,44.6736646
2018,2018.0,Import,Kuwait,Belgium,1.0,Animals; live,1863053.0,,29.2733964,47.4979476,50.6402809,4.6667145
2018,2018.0,Import,Kuwait,Solomon Isds,1.0,Animals; live,4155.0,,29.2733964,47.4979476,,
2018,2018.0,Import,Kuwait,Canada,1.0,Animals; live,192286.0,,29.2733964,47.4979476,61.0666922,-107.991707
2018,2018.0,Import,Kuwait,China,1.0,Animals; live,127987.0,,29.2733964,47.4979476,35.000074,104.999927
2018,2018.0,Import,Kuwait,Cyprus,1.0,Animals; live,14576.0,,29.2733964,47.4979476,34.9823018,33.1451285
2018,2018.0,Import,Kuwait,Czechia,1.0,Animals; live,672357.0,,29.2733964,47.4979476,49.7439047,15.3381061
2018,2018.0,Import,Kuwait,El Salvador,1.0,Animals; live,23773.0,,29.2733964,47.4979476,13.8000382,-88.9140683
2018,2018.0,Import,Kuwait,Equatorial Guinea,1.0,Animals; live,4288.0,,29.2733964,47.4979476,1.613172,10.5170357
2018,2018.0,Import,Kuwait,France,1.0,Animals; live,47285.0,,29.2733964,47.4979476,46.603354,1.8883335
2018,2018.0,Import,Kuwait,Georgia,1.0,Animals; live,125976.0,,29.2733964,47.4979476,32.3293809,-83.1137366
2018,2018.0,Import,Kuwait,Germany,1.0,Animals; live,2548575.0,,29.2733964,47.4979476,51.1638175,10.4478313
2018,2018.0,Import,Kuwait,Guinea,1.0,Animals; live,72106.0,,29.2733964,47.4979476,10.7226226,-10.7083587
2018,2018.0,Import,Kuwait,"China, Hong Kong SAR",1.0,Animals; live,16404.0,,29.2733964,47.4979476,22.350627,114.1849161
2018,2018.0,Import,Kuwait,Hungary,1.0,Animals; live,292788.0,,29.2733964,47.4979476,47.1817585,19.5060937
2018,2018.0,Import,Kuwait,Iran,1.0,Animals; live,25845671.0,,29.2733964,47.4979476,32.6475314,54.5643516
2018,2018.0,Import,Kuwait,Italy,1.0,Animals; live,64960.0,,29.2733964,47.4979476,42.6384261,12.674297
2018,2018.0,Import,Kuwait,Japan,1.0,Animals; live,73822.0,,29.2733964,47.4979476,36.5748441,139.2394179
2018,2018.0,Import,Kuwait,Jordan,1.0,Animals; live,38695206.0,,29.2733964,47.4979476,31.1667049,36.941628
2018,2018.0,Import,Kuwait,Lebanon,1.0,Animals; live,24630.0,,29.2733964,47.4979476,33.8750629,35.843409
2018,2018.0,Import,Kuwait,Luxembourg,1.0,Animals; live,309729.0,,29.2733964,47.4979476,49.8158683,6.1296751
2018,2018.0,Import,Kuwait,Malaysia,1.0,Animals; live,371848.0,,29.2733964,47.4979476,4.5693754,102.2656823
2018,2018.0,Import,Kuwait,Mali,1.0,Animals; live,770184.0,,29.2733964,47.4979476,16.3700359,-2.2900239
2018,2018.0,Import,Kuwait,Malta,1.0,Animals; live,18446.0,,29.2733964,47.4979476,35.8885993,14.4476911
2018,2018.0,Import,Kuwait,Mozambique,1.0,Animals; live,2819.0,,29.2733964,47.4979476,-19.302233,34.9144977
2018,2018.0,Import,Kuwait,Oman,1.0,Animals; live,117160.0,,29.2733964,47.4979476,21.0000287,57.0036901
2018,2018.0,Import,Kuwait,Netherlands,1.0,Animals; live,3862389.0,,29.2733964,47.4979476,52.2434979,5.6343227
2018,2018.0,Import,Kuwait,Aruba,1.0,Animals; live,13649.0,,29.2733964,47.4979476,12.51756625,-69.98186415210564
2018,2018.0,Import,Kuwait,Pakistan,1.0,Animals; live,149417.0,,29.2733964,47.4979476,30.3308401,71.247499
2018,2018.0,Import,Kuwait,Philippines,1.0,Animals; live,162678.0,,29.2733964,47.4979476,12.7503486,122.7312101
2018,2018.0,Import,Kuwait,Poland,1.0,Animals; live,102349.0,,29.2733964,47.4979476,52.215933,19.134422
2018,2018.0,Import,Kuwait,Qatar,1.0,Animals; live,1857099.0,,29.2733964,47.4979476,25.3336984,51.2295295
2018,2018.0,Import,Kuwait,Romania,1.0,Animals; live,1585.0,,29.2733964,47.4979476,45.9852129,24.6859225
2018,2018.0,Import,Kuwait,Russian Federation,1.0,Animals; live,5201.0,,29.2733964,47.4979476,64.6863136,97.7453061
2018,2018.0,Import,Kuwait,Saudi Arabia,1.0,Animals; live,74574031.0,,29.2733964,47.4979476,25.6242618,42.3528328
2018,2018.0,Import,Kuwait,Senegal,1.0,Animals; live,26344.0,,29.2733964,47.4979476,14.4750607,-14.4529612
2018,2018.0,Import,Kuwait,Serbia,1.0,Animals; live,3758.0,,29.2733964,47.4979476,44.1534121,20.55144
2018,2018.0,Import,Kuwait,India,1.0,Animals; live,141796.0,,29.2733964,47.4979476,22.3511148,78.6677428
2018,2018.0,Import,Kuwait,Singapore,1.0,Animals; live,274989.0,,29.2733964,47.4979476,1.357107,103.8194992
2018,2018.0,Import,Kuwait,Slovakia,1.0,Animals; live,3670.0,,29.2733964,47.4979476,48.7411522,19.4528646
2018,2018.0,Import,Kuwait,South Africa,1.0,Animals; live,4407.0,,29.2733964,47.4979476,-28.8166236,24.991639
2018,2018.0,Import,Kuwait,Zimbabwe,1.0,Animals; live,1038.0,,29.2733964,47.4979476,-18.4554963,29.7468414
2018,2018.0,Import,Kuwait,Spain,1.0,Animals; live,2739.0,,29.2733964,47.4979476,39.3260685,-4.8379791
2018,2018.0,Import,Kuwait,Sudan,1.0,Animals; live,2062694.0,,29.2733964,47.4979476,14.5844444,29.4917691
2018,2018.0,Import,Kuwait,Suriname,1.0,Animals; live,36380.0,,29.2733964,47.4979476,4.1413025,-56.0771187
2018,2018.0,Import,Kuwait,Sweden,1.0,Animals; live,2724.0,,29.2733964,47.4979476,59.6749712,14.5208584
2018,2018.0,Import,Kuwait,Switzerland,1.0,Animals; live,1333.0,,29.2733964,47.4979476,46.7985624,8.2319736
2018,2018.0,Import,Kuwait,Syria,1.0,Animals; live,134259.0,,29.2733964,47.4979476,34.6401861,39.0494106
2018,2018.0,Import,Kuwait,Thailand,1.0,Animals; live,17142.0,,29.2733964,47.4979476,14.8971921,100.83273
2018,2018.0,Import,Kuwait,United Arab Emirates,1.0,Animals; live,9637631.0,,29.2733964,47.4979476,24.0002488,53.9994829
2018,2018.0,Import,Kuwait,Turkey,1.0,Animals; live,4577754.0,,29.2733964,47.4979476,38.9597594,34.9249653
2018,2018.0,Import,Kuwait,Ukraine,1.0,Animals; live,208647.0,,29.2733964,47.4979476,49.4871968,31.2718321
2018,2018.0,Import,Kuwait,Egypt,1.0,Animals; live,2063679.0,,29.2733964,47.4979476,26.2540493,29.2675469
2018,2018.0,Import,Kuwait,United Kingdom,1.0,Animals; live,2768765.0,,29.2733964,47.4979476,54.7023545,-3.2765753
2018,2018.0,Import,Kuwait,USA,1.0,Animals; live,2705485.0,,29.2733964,47.4979476,39.7837304,-100.445882
2018,2018.0,Import,Kuwait,"Areas, nes",1.0,Animals; live,10015864.0,,29.2733964,47.4979476,,
