yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Import,Qatar,World,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,15743444.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016.0,Import,Qatar,Brazil,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10028011.0,,25.3336984,51.2295295,-10.3333333,-53.2
2016,2016.0,Import,Qatar,China,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,175716.0,,25.3336984,51.2295295,35.000074,104.999927
2016,2016.0,Import,Qatar,Ecuador,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,14539.0,,25.3336984,51.2295295,-1.3397668,-79.3666965
2016,2016.0,Import,Qatar,France,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,353750.0,,25.3336984,51.2295295,46.603354,1.8883335
2016,2016.0,Import,Qatar,Germany,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,93680.0,,25.3336984,51.2295295,51.1638175,10.4478313
2016,2016.0,Import,Qatar,Ireland,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,38863.0,,25.3336984,51.2295295,52.865196,-7.9794599
2016,2016.0,Import,Qatar,Rep. of Korea,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,188091.0,,25.3336984,51.2295295,,
2016,2016.0,Import,Qatar,Netherlands,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,376515.0,,25.3336984,51.2295295,52.2434979,5.6343227
2016,2016.0,Import,Qatar,Saudi Arabia,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2478905.0,,25.3336984,51.2295295,25.6242618,42.3528328
2016,2016.0,Import,Qatar,India,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,164488.0,,25.3336984,51.2295295,22.3511148,78.6677428
2016,2016.0,Import,Qatar,Sweden,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,112911.0,,25.3336984,51.2295295,59.6749712,14.5208584
2016,2016.0,Import,Qatar,United Arab Emirates,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,699516.0,,25.3336984,51.2295295,24.0002488,53.9994829
2016,2016.0,Import,Qatar,USA,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1018454.0,,25.3336984,51.2295295,39.7837304,-100.445882
