yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Australia and New Zealand,Oceania,21000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Eastern Asia,Asia,19618000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Eastern Europe,Europe,444000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Egypt,Egypt,1587000,30.8124247,34.8594762,,
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Latin America and the Caribbean,Americas,1000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Northern America,Americas,3087000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Northern Europe,Europe,3657000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",South-eastern Asia,Asia,247000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Southern Europe,Europe,23287000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Sub-Saharan Africa,Africa,16000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Western Asia,Asia,3385000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",Western Europe,Europe,13198000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",World,World,71431000,30.8124247,34.8594762,,
2014,2014,Import,Israel,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use", Cyprus, Cyprus,4000,30.8124247,34.8594762,,
