yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,28045,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,232406,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,4598,26.1551249,50.5344606,19.569604022535763,12.47761721199581
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,736129,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,589836,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,285642,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,80564,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,311677,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,3207,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,389628,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2003,2003,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4853306,26.1551249,50.5344606,,
