yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,2194,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,10340751,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,20347,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,3961195,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,16506,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,235179,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,457807,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,225005,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Polynesia,Oceania,177,38.9597594,34.9249653,-5.109184731250752,167.40343615892436
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1030536,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1746963,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,33039,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,416153,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,686364,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2002,2002,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,22701207,38.9597594,34.9249653,,
