yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Qatar,World,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3761975921,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Qatar,Argentina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27102,25.3336984,51.2295295,-34.9964963,-64.9672817
2016,2016,Import,Qatar,Australia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23092817,25.3336984,51.2295295,-24.7761086,134.755
2016,2016,Import,Qatar,Austria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",58684491,25.3336984,51.2295295,47.59397,14.12456
2016,2016,Import,Qatar,Bahrain,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",419465,25.3336984,51.2295295,26.1551249,50.5344606
2016,2016,Import,Qatar,Belgium,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9529377,25.3336984,51.2295295,50.6402809,4.6667145
2016,2016,Import,Qatar,Brazil,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1300106,25.3336984,51.2295295,-10.3333333,-53.2
2016,2016,Import,Qatar,Belarus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",319084,25.3336984,51.2295295,53.4250605,27.6971358
2016,2016,Import,Qatar,Cambodia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19456,25.3336984,51.2295295,12.5433216,104.8144914
2016,2016,Import,Qatar,Canada,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",34961321,25.3336984,51.2295295,61.0666922,-107.991707
2016,2016,Import,Qatar,Sri Lanka,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14004,25.3336984,51.2295295,7.5554942,80.7137847
2016,2016,Import,Qatar,China,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",95185490,25.3336984,51.2295295,35.000074,104.999927
2016,2016,Import,Qatar,Czechia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8945828,25.3336984,51.2295295,,
2016,2016,Import,Qatar,Denmark,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",117009,25.3336984,51.2295295,55.670249,10.3333283
2016,2016,Import,Qatar,Finland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",281607,25.3336984,51.2295295,63.2467777,25.9209164
2016,2016,Import,Qatar,France,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20107398,25.3336984,51.2295295,46.603354,1.8883335
