yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,25917,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,11981153,31.1667049,36.941628,37.977378106878206,73.97804075806764
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,17098594,31.1667049,36.941628,51.67568633314729,27.673469819741847
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,73398,31.1667049,36.941628,19.569604022535763,12.47761721199581
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,178788,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,3160202,31.1667049,36.941628,59.36075159783851,25.01346951967388
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4170945,31.1667049,36.941628,10.528384761701911,103.08333472012376
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,6814142,31.1667049,36.941628,25.499703063807168,75.5024015339642
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,445291,31.1667049,36.941628,40.12399607988535,20.742583178432696
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,7715,31.1667049,36.941628,6.06272746187266,22.727528470146083
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,19940088,31.1667049,36.941628,26.42921218083572,52.86847103284948
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,9478791,31.1667049,36.941628,47.92172048214207,7.866753258497997
2005,2005,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,World,World,196535692,31.1667049,36.941628,,
