yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Australia and New Zealand,Oceania,6407,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Eastern Asia,Asia,29486352,30.3308401,71.247499,37.977378106878206,73.97804075806764
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Eastern Europe,Europe,14076,30.3308401,71.247499,51.67568633314729,27.673469819741847
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Latin America and the Caribbean,Americas,21645,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Northern America,Americas,189286,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Northern Europe,Europe,1147040,30.3308401,71.247499,59.36075159783851,25.01346951967388
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",South-eastern Asia,Asia,3609272,30.3308401,71.247499,10.528384761701911,103.08333472012376
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Southern Asia,Asia,425034,30.3308401,71.247499,25.499703063807168,75.5024015339642
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Southern Europe,Europe,580225,30.3308401,71.247499,40.12399607988535,20.742583178432696
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Sub-Saharan Africa,Africa,1886,30.3308401,71.247499,6.06272746187266,22.727528470146083
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Western Asia,Asia,416183,30.3308401,71.247499,26.42921218083572,52.86847103284948
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",Western Europe,Europe,707217,30.3308401,71.247499,47.92172048214207,7.866753258497997
2014,2014,Import,Pakistan,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",World,World,46016603,30.3308401,71.247499,,
