yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,451659,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,4430,26.1551249,50.5344606,39.89317229901691,61.060280637304274
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,67432,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,28853,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,14337,26.1551249,50.5344606,19.569604022535763,12.47761721199581
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,223865,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,920302,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,686799,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,84516,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,64159,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,4601,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,29641,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1353035,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2010,2010,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,6667802,26.1551249,50.5344606,,
