yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1455077,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,Belgium,64,Footwear; gaiters and the like; parts of such articles,494,,,50.6402809,4.6667145
2016,2016,Import,Comoros,Brunei Darussalam,64,Footwear; gaiters and the like; parts of such articles,795,,,,
2016,2016,Import,Comoros,China,64,Footwear; gaiters and the like; parts of such articles,639269,,,35.000074,104.999927
2016,2016,Import,Comoros,Ecuador,64,Footwear; gaiters and the like; parts of such articles,809,,,-1.3397668,-79.3666965
2016,2016,Import,Comoros,France,64,Footwear; gaiters and the like; parts of such articles,7285,,,46.603354,1.8883335
2016,2016,Import,Comoros,Indonesia,64,Footwear; gaiters and the like; parts of such articles,12232,,,-2.4833826,117.8902853
2016,2016,Import,Comoros,Kenya,64,Footwear; gaiters and the like; parts of such articles,36873,,,1.4419683,38.4313975
2016,2016,Import,Comoros,Rep. of Korea,64,Footwear; gaiters and the like; parts of such articles,45,,,,
2016,2016,Import,Comoros,Kuwait,64,Footwear; gaiters and the like; parts of such articles,5576,,,29.2733964,47.4979476
2016,2016,Import,Comoros,Madagascar,64,Footwear; gaiters and the like; parts of such articles,14166,,,-18.9249604,46.4416422
2016,2016,Import,Comoros,Mauritius,64,Footwear; gaiters and the like; parts of such articles,486,,,-20.2759451,57.5703566
2016,2016,Import,Comoros,Mozambique,64,Footwear; gaiters and the like; parts of such articles,1017,,,,
2016,2016,Import,Comoros,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,3533,,,25.6242618,42.3528328
2016,2016,Import,Comoros,Senegal,64,Footwear; gaiters and the like; parts of such articles,11,,,14.4750607,-14.4529612
2016,2016,Import,Comoros,India,64,Footwear; gaiters and the like; parts of such articles,42275,,,22.3511148,78.6677428
2016,2016,Import,Comoros,Slovakia,64,Footwear; gaiters and the like; parts of such articles,32,,,48.7411522,19.4528646
2016,2016,Import,Comoros,Thailand,64,Footwear; gaiters and the like; parts of such articles,48283,,,14.8971921,100.83273
2016,2016,Import,Comoros,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,581550,,,24.0002488,53.9994829
2016,2016,Import,Comoros,Tunisia,64,Footwear; gaiters and the like; parts of such articles,663,,,33.8439408,9.400138
2016,2016,Import,Comoros,Turkey,64,Footwear; gaiters and the like; parts of such articles,1024,,,38.9597594,34.9249653
2016,2016,Import,Comoros,United Rep. of Tanzania,64,Footwear; gaiters and the like; parts of such articles,58649,,,,
2018,2018,Import,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1817842,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,Brunei Darussalam,64,Footwear; gaiters and the like; parts of such articles,136,,,,
2018,2018,Import,Comoros,China,64,Footwear; gaiters and the like; parts of such articles,970067,,,35.000074,104.999927
2018,2018,Import,Comoros,France,64,Footwear; gaiters and the like; parts of such articles,21436,,,46.603354,1.8883335
2018,2018,Import,Comoros,Indonesia,64,Footwear; gaiters and the like; parts of such articles,2445,,,-2.4833826,117.8902853
2018,2018,Import,Comoros,Kenya,64,Footwear; gaiters and the like; parts of such articles,229,,,1.4419683,38.4313975
2018,2018,Import,Comoros,Madagascar,64,Footwear; gaiters and the like; parts of such articles,7272,,,-18.9249604,46.4416422
2018,2018,Import,Comoros,Mauritius,64,Footwear; gaiters and the like; parts of such articles,823,,,-20.2759451,57.5703566
2018,2018,Import,Comoros,Namibia,64,Footwear; gaiters and the like; parts of such articles,2585,,,-23.2335499,17.3231107
2018,2018,Import,Comoros,Qatar,64,Footwear; gaiters and the like; parts of such articles,25,,,25.3336984,51.2295295
2018,2018,Import,Comoros,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,1100,,,25.6242618,42.3528328
2018,2018,Import,Comoros,India,64,Footwear; gaiters and the like; parts of such articles,35647,,,22.3511148,78.6677428
2018,2018,Import,Comoros,Thailand,64,Footwear; gaiters and the like; parts of such articles,40342,,,14.8971921,100.83273
2018,2018,Import,Comoros,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,658875,,,24.0002488,53.9994829
2018,2018,Import,Comoros,Turkey,64,Footwear; gaiters and the like; parts of such articles,925,,,38.9597594,34.9249653
2018,2018,Import,Comoros,Egypt,64,Footwear; gaiters and the like; parts of such articles,2207,,,26.2540493,29.2675469
