yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,5602136,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,9902511,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1442760,25.6242618,42.3528328,51.67568633314729,27.673469819741847
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,5482508,25.6242618,42.3528328,,
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,746921,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,43150210,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,31043736,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,3988162,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,9014413,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,264771,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,3576229,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,42280345,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,187218994,25.6242618,42.3528328,,
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,1141882,25.6242618,42.3528328,,
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,68641,25.6242618,42.3528328,,
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,99406,25.6242618,42.3528328,,
2017,2017,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,7435075,25.6242618,42.3528328,,
