yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Re-Export,Bahrain,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5003661.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2016,2016.0,Re-Export,Bahrain,Antigua and Barbuda,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",899.0,,26.1551249,50.5344606,17.2234721,-61.9554608
2016,2016.0,Re-Export,Bahrain,Azerbaijan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1209.0,,26.1551249,50.5344606,40.3936294,47.7872508
2016,2016.0,Re-Export,Bahrain,Denmark,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",330.0,,26.1551249,50.5344606,55.670249,10.3333283
2016,2016.0,Re-Export,Bahrain,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",601.0,,26.1551249,50.5344606,51.1638175,10.4478313
2016,2016.0,Re-Export,Bahrain,Iraq,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21.0,,26.1551249,50.5344606,33.0955793,44.1749775
2016,2016.0,Re-Export,Bahrain,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",100.0,,26.1551249,50.5344606,42.6384261,12.674297
2016,2016.0,Re-Export,Bahrain,Jordan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",202.0,,26.1551249,50.5344606,31.1667049,36.941628
2016,2016.0,Re-Export,Bahrain,Kuwait,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",363606.0,,26.1551249,50.5344606,29.2733964,47.4979476
2016,2016.0,Re-Export,Bahrain,Liberia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5130.0,,26.1551249,50.5344606,5.7499721,-9.3658524
2016,2016.0,Re-Export,Bahrain,Malta,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",910.0,,26.1551249,50.5344606,35.8885993,14.4476911
2016,2016.0,Re-Export,Bahrain,Morocco,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",32075.0,,26.1551249,50.5344606,31.1728205,-7.3362482
2016,2016.0,Re-Export,Bahrain,Oman,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",68530.0,,26.1551249,50.5344606,21.0000287,57.0036901
2016,2016.0,Re-Export,Bahrain,Norway,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1155.0,,26.1551249,50.5344606,60.5000209,9.0999715
2016,2016.0,Re-Export,Bahrain,Marshall Isds,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1946.0,,26.1551249,50.5344606,,
2016,2016.0,Re-Export,Bahrain,Panama,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1745.0,,26.1551249,50.5344606,8.559559,-81.1308434
2016,2016.0,Re-Export,Bahrain,Qatar,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",56676.0,,26.1551249,50.5344606,25.3336984,51.2295295
2016,2016.0,Re-Export,Bahrain,Saudi Arabia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3896229.0,,26.1551249,50.5344606,25.6242618,42.3528328
2016,2016.0,Re-Export,Bahrain,India,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3136.0,,26.1551249,50.5344606,22.3511148,78.6677428
2016,2016.0,Re-Export,Bahrain,Singapore,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",73004.0,,26.1551249,50.5344606,1.357107,103.8194992
2016,2016.0,Re-Export,Bahrain,Sudan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",319.0,,26.1551249,50.5344606,14.5844444,29.4917691
2016,2016.0,Re-Export,Bahrain,Sweden,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",14547.0,,26.1551249,50.5344606,59.6749712,14.5208584
2016,2016.0,Re-Export,Bahrain,Switzerland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10604.0,,26.1551249,50.5344606,46.7985624,8.2319736
2016,2016.0,Re-Export,Bahrain,United Arab Emirates,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",432567.0,,26.1551249,50.5344606,24.0002488,53.9994829
2016,2016.0,Re-Export,Bahrain,United Kingdom,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",25109.0,,26.1551249,50.5344606,54.7023545,-3.2765753
2016,2016.0,Re-Export,Bahrain,Bunkers,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7134.0,,26.1551249,50.5344606,42.18544695,-71.13717580263157
2016,2016.0,Re-Export,Bahrain,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5862.0,,26.1551249,50.5344606,39.7837304,-100.445882
