yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,424017,31.1667049,36.941628,37.977378106878206,73.97804075806764
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,12660,31.1667049,36.941628,51.67568633314729,27.673469819741847
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,301028,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,172136,31.1667049,36.941628,19.569604022535763,12.47761721199581
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,620966,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1056073,31.1667049,36.941628,59.36075159783851,25.01346951967388
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,216993,31.1667049,36.941628,10.528384761701911,103.08333472012376
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,852220,31.1667049,36.941628,40.12399607988535,20.742583178432696
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,3159,31.1667049,36.941628,6.06272746187266,22.727528470146083
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,182054,31.1667049,36.941628,26.42921218083572,52.86847103284948
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2358579,31.1667049,36.941628,47.92172048214207,7.866753258497997
2005,2005,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,8636206,31.1667049,36.941628,,
