yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,8870411,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Melanesia,Oceania,117600,25.62,42.35,1.0108650891006263,147.3257485906919
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,8726144,25.62,42.35,25.499703063807168,75.5024015339642
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,584266,25.62,42.35,6.06272746187266,22.727528470146083
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,74133,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,51733,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,7369876,25.62,42.35,26.42921218083572,52.86847103284948
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,47061392,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Afghanistan, Afghanistan,33067,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,1964002,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,46400,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,3926138,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,4023472,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,2785870,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,547201,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,29867,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,43467,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,1402402,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,3905338,25.62,42.35,,
2012,2012,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,2441603,25.62,42.35,,
