yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Oman,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",19526466,,,-36.8535712,174.7456809
2016,2016,Re-Export,Oman,Bahrain,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",239271,,,26.1551249,50.5344606
2016,2016,Re-Export,Oman,Canada,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",46,,,61.0666922,-107.991707
2016,2016,Re-Export,Oman,"China, Hong Kong SAR",68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",19505,,,22.350627,114.1849161
2016,2016,Re-Export,Oman,Iran,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",33357,,,32.6475314,54.5643516
2016,2016,Re-Export,Oman,Iraq,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",53836,,,33.0955793,44.1749775
2016,2016,Re-Export,Oman,Jamaica,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",665799,,,,
2016,2016,Re-Export,Oman,Jordan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",67620,,,31.1667049,36.941628
2016,2016,Re-Export,Oman,Rep. of Korea,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",228,,,,
2016,2016,Re-Export,Oman,Kuwait,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",65035,,,29.2733964,47.4979476
2016,2016,Re-Export,Oman,Philippines,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",260,,,12.7503486,122.7312101
2016,2016,Re-Export,Oman,Saudi Arabia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1430429,,,25.6242618,42.3528328
2016,2016,Re-Export,Oman,India,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",252,,,22.3511148,78.6677428
2016,2016,Re-Export,Oman,Singapore,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",33810,,,1.357107,103.8194992
2016,2016,Re-Export,Oman,Somalia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",219877,,,8.3676771,49.083416
2016,2016,Re-Export,Oman,United Arab Emirates,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",14998955,,,24.0002488,53.9994829
2016,2016,Re-Export,Oman,Turkey,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",33862,,,38.9597594,34.9249653
2016,2016,Re-Export,Oman,United Rep. of Tanzania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",124837,,,,
2016,2016,Re-Export,Oman,USA,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5071,,,,
2016,2016,Re-Export,Oman,"Areas, nes",68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1534408,,,,
2017,2017,Re-Export,Oman,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4958020,,,-36.8535712,174.7456809
2017,2017,Re-Export,Oman,Bahrain,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",9867,,,26.1551249,50.5344606
2017,2017,Re-Export,Oman,Bangladesh,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",130,,,24.4769288,90.2934413
2017,2017,Re-Export,Oman,Chile,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2579,,,-31.7613365,-71.3187697
2017,2017,Re-Export,Oman,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",82028,,,35.000074,104.999927
2017,2017,Re-Export,Oman,Germany,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",262,,,51.1638175,10.4478313
2017,2017,Re-Export,Oman,Iran,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",10657,,,32.6475314,54.5643516
2017,2017,Re-Export,Oman,Italy,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",624,,,42.6384261,12.674297
2017,2017,Re-Export,Oman,Kuwait,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",83,,,29.2733964,47.4979476
2017,2017,Re-Export,Oman,Netherlands,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",16910,,,52.2434979,5.6343227
2017,2017,Re-Export,Oman,Qatar,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3153614,,,25.3336984,51.2295295
2017,2017,Re-Export,Oman,Russian Federation,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",8447,,,64.6863136,97.7453061
2017,2017,Re-Export,Oman,Saudi Arabia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",93321,,,25.6242618,42.3528328
2017,2017,Re-Export,Oman,India,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",13,,,22.3511148,78.6677428
2017,2017,Re-Export,Oman,Singapore,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",38782,,,1.357107,103.8194992
2017,2017,Re-Export,Oman,Somalia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",120509,,,8.3676771,49.083416
