yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,15697,33.8750629,35.843409,-16.85099460447687,133.4130365630627
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,167804,33.8750629,35.843409,37.977378106878206,73.97804075806764
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,11316281,33.8750629,35.843409,51.67568633314729,27.673469819741847
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,116388,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,4342854,33.8750629,35.843409,19.569604022535763,12.47761721199581
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,483002,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,926554,33.8750629,35.843409,59.36075159783851,25.01346951967388
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4642,33.8750629,35.843409,10.528384761701911,103.08333472012376
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,66010,33.8750629,35.843409,25.499703063807168,75.5024015339642
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,10931566,33.8750629,35.843409,40.12399607988535,20.742583178432696
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,4274,33.8750629,35.843409,6.06272746187266,22.727528470146083
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,24635005,33.8750629,35.843409,26.42921218083572,52.86847103284948
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1617969,33.8750629,35.843409,47.92172048214207,7.866753258497997
2006,2006,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,World,World,58736963,33.8750629,35.843409,,
