yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,1188,33.8750629,35.843409,-16.85099460447687,133.4130365630627
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,33946,33.8750629,35.843409,51.67568633314729,27.673469819741847
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,37266,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,2220,33.8750629,35.843409,19.569604022535763,12.47761721199581
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,71590,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,100252,33.8750629,35.843409,59.36075159783851,25.01346951967388
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,13466,33.8750629,35.843409,40.12399607988535,20.742583178432696
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,386577,33.8750629,35.843409,6.06272746187266,22.727528470146083
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,11105,33.8750629,35.843409,26.42921218083572,52.86847103284948
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,136755,33.8750629,35.843409,47.92172048214207,7.866753258497997
2002,2002,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,World,World,3246419,33.8750629,35.843409,,
