yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Eastern Asia,Asia,737
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Eastern Europe,Europe,18904
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Latin America and the Caribbean,Americas,334
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Northern Africa,Africa,4513
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Northern America,Americas,272443
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Northern Europe,Europe,40963
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",South-eastern Asia,Asia,982
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Southern Europe,Europe,77784
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Sub-Saharan Africa,Africa,4421
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",Western Europe,Europe,14570
2002,2002,Re-Export,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal",World,World,493782
