yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,2940218,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,28173463,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,123299,25.6242618,42.3528328,51.67568633314729,27.673469819741847
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,221510,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,17642108,25.6242618,42.3528328,19.569604022535763,12.47761721199581
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,13945018,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,6872963,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,3386442,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,4603414,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,6477980,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,631438,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1532692,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,10451824,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2005,2005,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,129359977,25.6242618,42.3528328,,
