yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,318235,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,15996765,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,652964,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,25679382,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,3989933,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Melanesia,Oceania,5003,38.9597594,34.9249653,1.0108650891006263,147.3257485906919
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Micronesia,Oceania,17428,38.9597594,34.9249653,6.418559504495792,157.6364476938912
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,12482128,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1413131,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,6165837,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Polynesia,Oceania,168,38.9597594,34.9249653,-5.109184731250752,167.40343615892436
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1641531,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,53066013,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,16555508,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,10856361,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1800199,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,18192852,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2019,2019,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,235350627,38.9597594,34.9249653,,
