yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,1273000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,81000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1241000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,564000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,8226000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,9590000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,5000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1553000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1415000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,12406000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;,World,World,36603000,30.8124247,34.8594762,,
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,40000,30.8124247,34.8594762,,
2005,2005,Import,Israel,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,208000,30.8124247,34.8594762,,
