yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Eastern Asia,Asia,224,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Eastern Europe,Europe,110901,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Latin America and the Caribbean,Americas,1643576,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Northern America,Americas,16786,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Northern Europe,Europe,4732196,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",South-eastern Asia,Asia,4524,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Southern Europe,Europe,2184232,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Western Asia,Asia,856,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Western Europe,Europe,1678308,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2012,2012,Import,Malta,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",World,World,10940489,35.8885993,14.4476911,,
