yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,10209,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,159284,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,14330,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,69967,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,67212,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,14654,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,147082,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,2501742,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,2079,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,3371272,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,3403,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,189016,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,24608,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,9761243,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Afghanistan, Afghanistan,649,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Armenia, Armenia,2555,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Azerbaijan, Azerbaijan,97,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,201108,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Comoros, Comoros,14165,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Cyprus, Cyprus,1026,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Djibouti, Djibouti,5469,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Georgia, Georgia,44452,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,103957,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,18533,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,241056,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,30125,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,166184,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Pakistan, Pakistan,72379,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,230585,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,821175,24.0002488,53.9994829,,
2011,2011,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,45486,24.0002488,53.9994829,,
