yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,106245585,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Qatar,Austria,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,18434,25.3336984,51.2295295,47.59397,14.12456
2016,2016,Import,Qatar,Bangladesh,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,354843,25.3336984,51.2295295,24.4769288,90.2934413
2016,2016,Import,Qatar,Belgium,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,362438,25.3336984,51.2295295,50.6402809,4.6667145
2016,2016,Import,Qatar,Canada,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,987036,25.3336984,51.2295295,61.0666922,-107.991707
2016,2016,Import,Qatar,Sri Lanka,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,28989,25.3336984,51.2295295,7.5554942,80.7137847
2016,2016,Import,Qatar,Finland,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15082,25.3336984,51.2295295,63.2467777,25.9209164
2016,2016,Import,Qatar,France,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,144892,25.3336984,51.2295295,46.603354,1.8883335
2016,2016,Import,Qatar,Germany,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,525858,25.3336984,51.2295295,51.1638175,10.4478313
2016,2016,Import,Qatar,Greece,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,50959,25.3336984,51.2295295,38.9953683,21.9877132
2016,2016,Import,Qatar,Iceland,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,14105,25.3336984,51.2295295,64.9841821,-18.1059013
2016,2016,Import,Qatar,Indonesia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,125878,25.3336984,51.2295295,-2.4833826,117.8902853
2016,2016,Import,Qatar,Ireland,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,17585,25.3336984,51.2295295,52.865196,-7.9794599
2016,2016,Import,Qatar,Italy,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,770593,25.3336984,51.2295295,42.6384261,12.674297
2016,2016,Import,Qatar,Japan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,14392,25.3336984,51.2295295,36.5748441,139.2394179
2016,2016,Import,Qatar,Jordan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1310698,25.3336984,51.2295295,31.1667049,36.941628
2016,2016,Import,Qatar,Rep. of Korea,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,30967,25.3336984,51.2295295,,
2016,2016,Import,Qatar,Lebanon,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,960959,25.3336984,51.2295295,33.8750629,35.843409
2016,2016,Import,Qatar,Malaysia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4035964,25.3336984,51.2295295,4.5693754,102.2656823
2016,2016,Import,Qatar,Morocco,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,35882,25.3336984,51.2295295,31.1728205,-7.3362482
2016,2016,Import,Qatar,Oman,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3421450,25.3336984,51.2295295,21.0000287,57.0036901
2016,2016,Import,Qatar,Netherlands,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,223821,25.3336984,51.2295295,52.2434979,5.6343227
2016,2016,Import,Qatar,Philippines,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,112905,25.3336984,51.2295295,12.7503486,122.7312101
2016,2016,Import,Qatar,Portugal,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,434792,25.3336984,51.2295295,39.6621648,-8.1353519
