yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,563,,,-16.85099460447687,133.4130365630627
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,30,,,39.89317229901691,61.060280637304274
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,796659,,,37.977378106878206,73.97804075806764
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,90310,,,,
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,86039,,,17.925141963241547,-78.01492950057497
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,48313,,,43.897683433510366,-100.08947125585888
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,294491,,,59.36075159783851,25.01346951967388
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,168837,,,10.528384761701911,103.08333472012376
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,2249429,,,40.12399607988535,20.742583178432696
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,488,,,6.06272746187266,22.727528470146083
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,54737,,,26.42921218083572,52.86847103284948
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,512358,,,47.92172048214207,7.866753258497997
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6541939,,,,
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,194837,,,,
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,5,,,,
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,26821,,,,
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,3000,,,,
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,10,,,,
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,574113,,,,
2006,2006,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,362190,,,,
