yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Australia and New Zealand,Oceania,154000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Central Asia,Asia,399000,30.8124247,34.8594762,39.89317229901691,61.060280637304274
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Eastern Asia,Asia,814000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Eastern Europe,Europe,646000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Egypt,Egypt,34000,30.8124247,34.8594762,,
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Latin America and the Caribbean,Americas,2347000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Northern America,Americas,87763000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Northern Europe,Europe,17707000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,South-eastern Asia,Asia,57000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Southern Asia,Asia,1214000,30.8124247,34.8594762,25.499703063807168,75.5024015339642
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Southern Europe,Europe,3569000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Sub-Saharan Africa,Africa,272000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Western Asia,Asia,73000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Western Europe,Europe,25475000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,World,World,146109000,30.8124247,34.8594762,,
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Cyprus, Cyprus,239000,30.8124247,34.8594762,,
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Georgia, Georgia,15000,30.8124247,34.8594762,,
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Jordan, Jordan,14000,30.8124247,34.8594762,,
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Kuwait, Kuwait,1000,30.8124247,34.8594762,,
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Malta, Malta,89000,30.8124247,34.8594762,,
2003,2003,Export,Israel,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,Morocco, Morocco,6000,30.8124247,34.8594762,,
