yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Turkey,World,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18416222171,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Import,Turkey,Afghanistan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",40709,38.9597594,34.9249653,33.7680065,66.2385139
2016,2016,Import,Turkey,Albania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",138,38.9597594,34.9249653,41.000028,19.9999619
2016,2016,Import,Turkey,Algeria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3848,38.9597594,34.9249653,28.0000272,2.9999825
2016,2016,Import,Turkey,Antigua and Barbuda,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",163,38.9597594,34.9249653,17.2234721,-61.9554608
2016,2016,Import,Turkey,Azerbaijan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14783,38.9597594,34.9249653,40.3936294,47.7872508
2016,2016,Import,Turkey,Argentina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",38536856,38.9597594,34.9249653,-34.9964963,-64.9672817
2016,2016,Import,Turkey,Australia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",801017,38.9597594,34.9249653,-24.7761086,134.755
2016,2016,Import,Turkey,Austria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",71949950,38.9597594,34.9249653,47.59397,14.12456
2016,2016,Import,Turkey,Bangladesh,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18483,38.9597594,34.9249653,24.4769288,90.2934413
2016,2016,Import,Turkey,Armenia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",226,38.9597594,34.9249653,,
2016,2016,Import,Turkey,Belgium,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",119170045,38.9597594,34.9249653,50.6402809,4.6667145
2016,2016,Import,Turkey,Bosnia Herzegovina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",720759,38.9597594,34.9249653,44.3053476,17.5961467
2016,2016,Import,Turkey,Brazil,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5738576,38.9597594,34.9249653,-10.3333333,-53.2
2016,2016,Import,Turkey,Bulgaria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2875806,38.9597594,34.9249653,42.6073975,25.4856617
