yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,47011,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,331565,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,41784,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,28198,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,22872,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,139667,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,31278,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,53237,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,2235986,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,33632,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,11314508,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1858825,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2005,2005,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,World,World,41190264,24.0002488,53.9994829,,
