yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Oman,World,1,Animals; live,232175217,,,-36.8535712,174.7456809
2019,2019,Import,Oman,Australia,1,Animals; live,9583289,,,-24.7761086,134.755
2019,2019,Import,Oman,Bahrain,1,Animals; live,189339,,,26.1551249,50.5344606
2019,2019,Import,Oman,Belgium,1,Animals; live,19261,,,50.6402809,4.6667145
2019,2019,Import,Oman,China,1,Animals; live,111,,,35.000074,104.999927
2019,2019,Import,Oman,Colombia,1,Animals; live,788,,,4.099917,-72.9088133
2019,2019,Import,Oman,Czechia,1,Animals; live,13391,,,,
2019,2019,Import,Oman,Benin,1,Animals; live,967,,,9.5293472,2.2584408
2019,2019,Import,Oman,Denmark,1,Animals; live,4026,,,55.670249,10.3333283
2019,2019,Import,Oman,Ethiopia,1,Animals; live,20327,,,10.2116702,38.6521203
2019,2019,Import,Oman,France,1,Animals; live,788,,,46.603354,1.8883335
2019,2019,Import,Oman,Djibouti,1,Animals; live,252605,,,11.8145966,42.8453061
2019,2019,Import,Oman,Guinea,1,Animals; live,2527,,,10.7226226,-10.7083587
2019,2019,Import,Oman,Hungary,1,Animals; live,1576,,,47.1817585,19.5060937
2019,2019,Import,Oman,Indonesia,1,Animals; live,9760,,,-2.4833826,117.8902853
2019,2019,Import,Oman,Iran,1,Animals; live,41030154,,,32.6475314,54.5643516
2019,2019,Import,Oman,Italy,1,Animals; live,260,,,42.6384261,12.674297
2019,2019,Import,Oman,Jordan,1,Animals; live,217674,,,31.1667049,36.941628
2019,2019,Import,Oman,Kuwait,1,Animals; live,31440,,,29.2733964,47.4979476
2019,2019,Import,Oman,Lebanon,1,Animals; live,434,,,33.8750629,35.843409
2019,2019,Import,Oman,Luxembourg,1,Animals; live,306894,,,,
2019,2019,Import,Oman,Malaysia,1,Animals; live,22384,,,4.5693754,102.2656823
2019,2019,Import,Oman,Netherlands,1,Animals; live,1505193,,,52.2434979,5.6343227
2019,2019,Import,Oman,Pakistan,1,Animals; live,733745,,,30.3308401,71.247499
2019,2019,Import,Oman,Philippines,1,Animals; live,5100,,,12.7503486,122.7312101
2019,2019,Import,Oman,Qatar,1,Animals; live,273708,,,25.3336984,51.2295295
2019,2019,Import,Oman,Romania,1,Animals; live,1501950,,,45.9852129,24.6859225
2019,2019,Import,Oman,Russian Federation,1,Animals; live,6585,,,64.6863136,97.7453061
2019,2019,Import,Oman,Saudi Arabia,1,Animals; live,139258,,,25.6242618,42.3528328
2019,2019,Import,Oman,India,1,Animals; live,777097,,,22.3511148,78.6677428
2019,2019,Import,Oman,Slovakia,1,Animals; live,4039,,,48.7411522,19.4528646
2019,2019,Import,Oman,Somalia,1,Animals; live,162694453,,,8.3676771,49.083416
2019,2019,Import,Oman,South Africa,1,Animals; live,1394,,,-28.8166236,24.991639
2019,2019,Import,Oman,Sudan,1,Animals; live,2268631,,,14.5844444,29.4917691
2019,2019,Import,Oman,Switzerland,1,Animals; live,30746,,,46.7985624,8.2319736
2019,2019,Import,Oman,Syria,1,Animals; live,6262,,,34.6401861,39.0494106
2019,2019,Import,Oman,Thailand,1,Animals; live,31274,,,14.8971921,100.83273
2019,2019,Import,Oman,Togo,1,Animals; live,1414,,,8.7800265,1.0199765
2019,2019,Import,Oman,United Arab Emirates,1,Animals; live,6160699,,,24.0002488,53.9994829
2019,2019,Import,Oman,Turkey,1,Animals; live,558954,,,38.9597594,34.9249653
2019,2019,Import,Oman,Ukraine,1,Animals; live,27092,,,49.4871968,31.2718321
2019,2019,Import,Oman,Egypt,1,Animals; live,15511,,,26.2540493,29.2675469
2019,2019,Import,Oman,United Kingdom,1,Animals; live,3226041,,,54.7023545,-3.2765753
2019,2019,Import,Oman,Free Zones,1,Animals; live,349362,,,,
2019,2019,Import,Oman,USA,1,Animals; live,15430,,,,
2019,2019,Import,Oman,Uzbekistan,1,Animals; live,8101,,,41.32373,63.9528098
2019,2019,Import,Oman,Yemen,1,Animals; live,125162,,,16.3471243,47.8915271
