yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,2852,33.87,35.84,-16.85099460447687,133.4130365630627
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1370494,33.87,35.84,37.977378106878206,73.97804075806764
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,222631,33.87,35.84,51.67568633314729,27.673469819741847
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,364569,33.87,35.84,,
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,291988,33.87,35.84,17.925141963241547,-78.01492950057497
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1734853,33.87,35.84,43.897683433510366,-100.08947125585888
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1692202,33.87,35.84,59.36075159783851,25.01346951967388
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,3618020,33.87,35.84,10.528384761701911,103.08333472012376
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,3722733,33.87,35.84,40.12399607988535,20.742583178432696
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,14367,33.87,35.84,6.06272746187266,22.727528470146083
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2646977,33.87,35.84,26.42921218083572,52.86847103284948
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,5860196,33.87,35.84,47.92172048214207,7.866753258497997
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,24218287,33.87,35.84,,
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,223743,33.87,35.84,,
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,166,33.87,35.84,,
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,594,33.87,35.84,,
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1804261,33.87,35.84,,
2012,2012,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,189252,33.87,35.84,,
