yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,18015,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,5062,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,2058,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,99471,31.1728205,-7.3362482,19.569604022535763,12.47761721199581
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,384480,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,32769,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1983,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2077344,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,109,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,289270,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,7272471,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2012,2012,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,10320233,31.1728205,-7.3362482,,
