yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,45259,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,11594,21.0000287,57.0036901,39.89317229901691,61.060280637304274
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2827468,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,157977,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,368480,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,193314,21.0000287,57.0036901,19.569604022535763,12.47761721199581
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,20057,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,68859,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,2194055,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,314586,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,61269,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,24948982,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,111145,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1043,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2011,2011,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,World,World,137844843,21.0000287,57.0036901,,
