yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,6810018,33.8750629,35.843409,37.977378106878206,73.97804075806764
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,93368,33.8750629,35.843409,51.67568633314729,27.673469819741847
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,26090,33.8750629,35.843409,,
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,451800,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,333742,33.8750629,35.843409,59.36075159783851,25.01346951967388
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,229457,33.8750629,35.843409,10.528384761701911,103.08333472012376
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,31909,33.8750629,35.843409,25.499703063807168,75.5024015339642
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,4211451,33.8750629,35.843409,40.12399607988535,20.742583178432696
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,272743,33.8750629,35.843409,6.06272746187266,22.727528470146083
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,972,33.8750629,35.843409,,
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,1655135,33.8750629,35.843409,26.42921218083572,52.86847103284948
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,4619165,33.8750629,35.843409,47.92172048214207,7.866753258497997
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,20597210,33.8750629,35.843409,,
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Morocco, Morocco,78561,33.8750629,35.843409,,
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Pakistan, Pakistan,83023,33.8750629,35.843409,,
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,41849,33.8750629,35.843409,,
2007,2007,Import,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,3223,33.8750629,35.843409,,
