yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,39485218,,,-36.8535712,174.7456809
2016,2016,Import,Oman,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,366980,,,35.000074,104.999927
2016,2016,Import,Oman,Czechia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,456158,,,,
2016,2016,Import,Oman,France,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,348,,,46.603354,1.8883335
2016,2016,Import,Oman,Germany,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,171420,,,51.1638175,10.4478313
2016,2016,Import,Oman,Hungary,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,6759,,,47.1817585,19.5060937
2016,2016,Import,Oman,Indonesia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,231,,,-2.4833826,117.8902853
2016,2016,Import,Oman,Iran,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,265,,,32.6475314,54.5643516
2016,2016,Import,Oman,Italy,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,8933809,,,42.6384261,12.674297
2016,2016,Import,Oman,Japan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,8187,,,36.5748441,139.2394179
2016,2016,Import,Oman,Rep. of Korea,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,4611,,,,
2016,2016,Import,Oman,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1022,,,29.2733964,47.4979476
2016,2016,Import,Oman,Mexico,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,299,,,23.6585116,-102.0077097
2016,2016,Import,Oman,Norway,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,9758,,,60.5000209,9.0999715
2016,2016,Import,Oman,India,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1832135,,,22.3511148,78.6677428
2016,2016,Import,Oman,Slovenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,4374459,,,45.8133113,14.4808369
2016,2016,Import,Oman,South Africa,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,15620,,,-28.8166236,24.991639
2016,2016,Import,Oman,Spain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,92262,,,39.3260685,-4.8379791
2016,2016,Import,Oman,Sweden,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,156140,,,59.6749712,14.5208584
2016,2016,Import,Oman,Thailand,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10759,,,14.8971921,100.83273
2016,2016,Import,Oman,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,163066,,,24.0002488,53.9994829
2016,2016,Import,Oman,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,131953,,,38.9597594,34.9249653
2016,2016,Import,Oman,United Kingdom,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10633507,,,54.7023545,-3.2765753
2016,2016,Import,Oman,USA,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,12115463,,,,
