yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,55931228,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,322772,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,4159300,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,3237334,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,4911141,21.0000287,57.0036901,19.569604022535763,12.47761721199581
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,352866,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,48950343,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,6894394,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,75114,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,64306,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,32598,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,52310,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,23664539,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2005,2005,Import,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,217631835,21.0000287,57.0036901,,
