yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1182434,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,414857,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,274429,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,132208,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,45250,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,1171813,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,26,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2260,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,205116,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,10172584,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,17419,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,2034893,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,626879,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,95951,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2013,2013,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,29125589,24.0002488,53.9994829,,
