yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Australia and New Zealand,Oceania,7000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Central Asia,Asia,76000,30.8124247,34.8594762,39.89317229901691,61.060280637304274
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Eastern Asia,Asia,20194000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Eastern Europe,Europe,3476000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Latin America and the Caribbean,Americas,5979000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Northern America,Americas,1555000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Northern Europe,Europe,115000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Polynesia,Oceania,2000,30.8124247,34.8594762,-5.109184731250752,167.40343615892436
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",South-eastern Asia,Asia,1188000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Southern Asia,Asia,14000,30.8124247,34.8594762,25.499703063807168,75.5024015339642
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Southern Europe,Europe,574000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Sub-Saharan Africa,Africa,126000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Western Asia,Asia,250000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Western Europe,Europe,1031000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",World,World,36050000,30.8124247,34.8594762,,
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Azerbaijan, Azerbaijan,77000,30.8124247,34.8594762,,
2019,2019,Import,Israel,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",Georgia, Georgia,688000,30.8124247,34.8594762,,
