yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,449900,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,220,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,713251,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,284813,31.1728205,-7.3362482,19.569604022535763,12.47761721199581
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,3420,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,2033,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,147951,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3130,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,19410824,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1639053,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,190632,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2010,2010,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,96311071,31.1728205,-7.3362482,,
