yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,2111961,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,8257142,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,13297785,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,229819229,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,3541319,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Africa,Africa,11042946,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,11789428,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,53984370,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Polynesia,Oceania,3638,38.9597594,34.9249653,-5.109184731250752,167.40343615892436
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,2479172,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,38928494,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,37983953,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,4456083,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,5953808,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,54146951,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,528842651,38.9597594,34.9249653,,
