yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2017,2017,Import,Oman,World,1,Animals; live,174395295,,,-36.8535712,174.7456809
2017,2017,Import,Oman,Algeria,1,Animals; live,260,,,28.0000272,2.9999825
2017,2017,Import,Oman,Argentina,1,Animals; live,100179,,,-34.9964963,-64.9672817
2017,2017,Import,Oman,Australia,1,Animals; live,11599598,,,-24.7761086,134.755
2017,2017,Import,Oman,Bahrain,1,Animals; live,15414,,,26.1551249,50.5344606
2017,2017,Import,Oman,Belgium,1,Animals; live,975838,,,50.6402809,4.6667145
2017,2017,Import,Oman,Brazil,1,Animals; live,29687,,,-10.3333333,-53.2
2017,2017,Import,Oman,Bulgaria,1,Animals; live,10876,,,42.6073975,25.4856617
2017,2017,Import,Oman,Belarus,1,Animals; live,400,,,53.4250605,27.6971358
2017,2017,Import,Oman,Canada,1,Animals; live,1505,,,61.0666922,-107.991707
2017,2017,Import,Oman,Croatia,1,Animals; live,260,,,,
2017,2017,Import,Oman,Czechia,1,Animals; live,13214,,,,
2017,2017,Import,Oman,Benin,1,Animals; live,6130,,,9.5293472,2.2584408
2017,2017,Import,Oman,France,1,Animals; live,384793,,,46.603354,1.8883335
2017,2017,Import,Oman,Djibouti,1,Animals; live,671732,,,11.8145966,42.8453061
2017,2017,Import,Oman,Georgia,1,Animals; live,1300,,,32.3293809,-83.1137366
2017,2017,Import,Oman,Germany,1,Animals; live,2873,,,51.1638175,10.4478313
2017,2017,Import,Oman,Greece,1,Animals; live,200,,,38.9953683,21.9877132
2017,2017,Import,Oman,Guinea,1,Animals; live,20377,,,10.7226226,-10.7083587
2017,2017,Import,Oman,Hungary,1,Animals; live,1215300,,,47.1817585,19.5060937
2017,2017,Import,Oman,Iran,1,Animals; live,10077814,,,32.6475314,54.5643516
2017,2017,Import,Oman,Italy,1,Animals; live,200,,,42.6384261,12.674297
2017,2017,Import,Oman,Jordan,1,Animals; live,41391,,,31.1667049,36.941628
2017,2017,Import,Oman,Rep. of Korea,1,Animals; live,1456,,,,
2017,2017,Import,Oman,Kuwait,1,Animals; live,19989,,,29.2733964,47.4979476
2017,2017,Import,Oman,Lebanon,1,Animals; live,18431,,,33.8750629,35.843409
2017,2017,Import,Oman,Malaysia,1,Animals; live,18475,,,4.5693754,102.2656823
2017,2017,Import,Oman,Mali,1,Animals; live,309261,,,16.3700359,-2.2900239
2017,2017,Import,Oman,Mozambique,1,Animals; live,32348,,,,
2017,2017,Import,Oman,Netherlands,1,Animals; live,1160572,,,52.2434979,5.6343227
2017,2017,Import,Oman,Pakistan,1,Animals; live,842839,,,30.3308401,71.247499
2017,2017,Import,Oman,Panama,1,Animals; live,780,,,8.559559,-81.1308434
2017,2017,Import,Oman,Philippines,1,Animals; live,5219,,,12.7503486,122.7312101
2017,2017,Import,Oman,Poland,1,Animals; live,361,,,52.215933,19.134422
2017,2017,Import,Oman,Portugal,1,Animals; live,358,,,39.6621648,-8.1353519
2017,2017,Import,Oman,Qatar,1,Animals; live,144327,,,25.3336984,51.2295295
2017,2017,Import,Oman,Romania,1,Animals; live,262,,,45.9852129,24.6859225
2017,2017,Import,Oman,Russian Federation,1,Animals; live,28197,,,64.6863136,97.7453061
2017,2017,Import,Oman,Saudi Arabia,1,Animals; live,548345,,,25.6242618,42.3528328
2017,2017,Import,Oman,Senegal,1,Animals; live,4996,,,14.4750607,-14.4529612
2017,2017,Import,Oman,Serbia,1,Animals; live,3248,,,44.1534121,20.55144
2017,2017,Import,Oman,India,1,Animals; live,2187172,,,22.3511148,78.6677428
2017,2017,Import,Oman,Slovakia,1,Animals; live,322096,,,48.7411522,19.4528646
2017,2017,Import,Oman,Somalia,1,Animals; live,131736479,,,8.3676771,49.083416
2017,2017,Import,Oman,South Africa,1,Animals; live,586889,,,-28.8166236,24.991639
2017,2017,Import,Oman,Spain,1,Animals; live,1771,,,39.3260685,-4.8379791
2017,2017,Import,Oman,Sudan,1,Animals; live,3375,,,14.5844444,29.4917691
2017,2017,Import,Oman,Suriname,1,Animals; live,10351,,,4.1413025,-56.0771187
2017,2017,Import,Oman,Syria,1,Animals; live,21726,,,34.6401861,39.0494106
2017,2017,Import,Oman,Thailand,1,Animals; live,31167,,,14.8971921,100.83273
2017,2017,Import,Oman,United Arab Emirates,1,Animals; live,9390456,,,24.0002488,53.9994829
2017,2017,Import,Oman,Tunisia,1,Animals; live,202,,,33.8439408,9.400138
2017,2017,Import,Oman,Turkey,1,Animals; live,47219,,,38.9597594,34.9249653
2017,2017,Import,Oman,Ukraine,1,Animals; live,407804,,,49.4871968,31.2718321
2017,2017,Import,Oman,Egypt,1,Animals; live,37256,,,26.2540493,29.2675469
2017,2017,Import,Oman,United Kingdom,1,Animals; live,658400,,,54.7023545,-3.2765753
2017,2017,Import,Oman,USA,1,Animals; live,639295,,,,
2017,2017,Import,Oman,Yemen,1,Animals; live,4803,,,16.3471243,47.8915271
