yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,2335,31.17,-7.33,-16.85099460447687,133.4130365630627
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,3897,31.17,-7.33,37.977378106878206,73.97804075806764
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,116,31.17,-7.33,51.67568633314729,27.673469819741847
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,74846,31.17,-7.33,,
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,16075,31.17,-7.33,17.925141963241547,-78.01492950057497
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,182788,31.17,-7.33,43.897683433510366,-100.08947125585888
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,2884,31.17,-7.33,59.36075159783851,25.01346951967388
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,105,31.17,-7.33,10.528384761701911,103.08333472012376
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2250485,31.17,-7.33,40.12399607988535,20.742583178432696
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,108270,31.17,-7.33,26.42921218083572,52.86847103284948
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,4685771,31.17,-7.33,47.92172048214207,7.866753258497997
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,8095089,31.17,-7.33,,
2013,2013,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,1595,31.17,-7.33,,
