yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,125337,28.0000272,2.9999825,-16.85099460447687,133.4130365630627
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1480335,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,14834,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,54453,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,258184,28.0000272,2.9999825,19.569604022535763,12.47761721199581
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,5032841,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,4802147,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1881772,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,5757425,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,2870,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1350911,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,23441383,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2009,2009,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,46785660,28.0000272,2.9999825,,
