yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2020,2020,Export,Saudi Arabia,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1984412,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,Algeria,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",96757,,,28.0000272,2.9999825
2020,2020,Export,Saudi Arabia,Bahrain,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",70345,,,26.1551249,50.5344606
2020,2020,Export,Saudi Arabia,Cameroon,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",93004,,,4.6125522,13.1535811
2020,2020,Export,Saudi Arabia,Djibouti,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2666,,,11.8145966,42.8453061
2020,2020,Export,Saudi Arabia,Germany,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9900,,,51.1638175,10.4478313
2020,2020,Export,Saudi Arabia,Ghana,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",7907,,,8.0300284,-1.0800271
2020,2020,Export,Saudi Arabia,Kenya,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2800,,,1.4419683,38.4313975
2020,2020,Export,Saudi Arabia,Kuwait,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",25486,,,29.2733964,47.4979476
2020,2020,Export,Saudi Arabia,Libya,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",29668,,,26.8234472,18.1236723
2020,2020,Export,Saudi Arabia,Malaysia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",7307,,,4.5693754,102.2656823
2020,2020,Export,Saudi Arabia,Malta,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",64745,,,35.8885993,14.4476911
2020,2020,Export,Saudi Arabia,Morocco,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2986,,,31.1728205,-7.3362482
2020,2020,Export,Saudi Arabia,Oman,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",87308,,,21.0000287,57.0036901
2020,2020,Export,Saudi Arabia,Nigeria,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",40367,,,9.6000359,7.9999721
2020,2020,Export,Saudi Arabia,Senegal,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5246,,,14.4750607,-14.4529612
2020,2020,Export,Saudi Arabia,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1183501,,,24.0002488,53.9994829
2020,2020,Export,Saudi Arabia,United Kingdom,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9693,,,54.7023545,-3.2765753
2020,2020,Export,Saudi Arabia,Yemen,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",244719,,,16.3471243,47.8915271
