yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,189129,26.82,18.12,37.977378106878206,73.97804075806764
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,22989,26.82,18.12,51.67568633314729,27.673469819741847
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,9440993,26.82,18.12,,
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,72578,26.82,18.12,59.36075159783851,25.01346951967388
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,13377,26.82,18.12,10.528384761701911,103.08333472012376
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,12075736,26.82,18.12,40.12399607988535,20.742583178432696
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,20372236,26.82,18.12,,
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,24917630,26.82,18.12,26.42921218083572,52.86847103284948
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,952235,26.82,18.12,47.92172048214207,7.866753258497997
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,World,World,68251810,26.82,18.12,,
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,19815,26.82,18.12,,
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,95276,26.82,18.12,,
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,4233,26.82,18.12,,
2016,2016,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,69435,26.82,18.12,,
