yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Eastern Asia,Asia,82000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Eastern Europe,Europe,1000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Latin America and the Caribbean,Americas,1000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Northern America,Americas,159000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Northern Europe,Europe,353000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",South-eastern Asia,Asia,136000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Southern Europe,Europe,211000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Sub-Saharan Africa,Africa,311000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",Western Europe,Europe,24000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2017,2017,Export,Israel,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",World,World,1278000,30.8124247,34.8594762,,
