yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2008,2008.0,Import,Israel,World,60.0,Knitted or crocheted fabrics,62968000.0,,30.8124247,34.8594762,-36.8535712,174.7456809
2008,2008.0,Import,Israel,Argentina,60.0,Knitted or crocheted fabrics,1000.0,,30.8124247,34.8594762,-34.9964963,-64.9672817
2008,2008.0,Import,Israel,Austria,60.0,Knitted or crocheted fabrics,5000.0,,30.8124247,34.8594762,47.59397,14.12456
2008,2008.0,Import,Israel,Belgium,60.0,Knitted or crocheted fabrics,843000.0,,30.8124247,34.8594762,50.6402809,4.6667145
2008,2008.0,Import,Israel,Brazil,60.0,Knitted or crocheted fabrics,417000.0,,30.8124247,34.8594762,-10.3333333,-53.2
2008,2008.0,Import,Israel,Bulgaria,60.0,Knitted or crocheted fabrics,53000.0,,30.8124247,34.8594762,42.6073975,25.4856617
2008,2008.0,Import,Israel,Canada,60.0,Knitted or crocheted fabrics,23000.0,,30.8124247,34.8594762,61.0666922,-107.991707
2008,2008.0,Import,Israel,China,60.0,Knitted or crocheted fabrics,9857000.0,,30.8124247,34.8594762,35.000074,104.999927
2008,2008.0,Import,Israel,Colombia,60.0,Knitted or crocheted fabrics,123000.0,,30.8124247,34.8594762,4.099917,-72.9088133
2008,2008.0,Import,Israel,Czechia,60.0,Knitted or crocheted fabrics,6000.0,,30.8124247,34.8594762,49.7439047,15.3381061
2008,2008.0,Import,Israel,Denmark,60.0,Knitted or crocheted fabrics,70000.0,,30.8124247,34.8594762,55.670249,10.3333283
2008,2008.0,Import,Israel,Finland,60.0,Knitted or crocheted fabrics,4000.0,,30.8124247,34.8594762,63.2467777,25.9209164
2008,2008.0,Import,Israel,France,60.0,Knitted or crocheted fabrics,1152000.0,,30.8124247,34.8594762,46.603354,1.8883335
2008,2008.0,Import,Israel,Germany,60.0,Knitted or crocheted fabrics,1737000.0,,30.8124247,34.8594762,51.1638175,10.4478313
2008,2008.0,Import,Israel,Greece,60.0,Knitted or crocheted fabrics,108000.0,,30.8124247,34.8594762,38.9953683,21.9877132
2008,2008.0,Import,Israel,"China, Hong Kong SAR",60.0,Knitted or crocheted fabrics,779000.0,,30.8124247,34.8594762,22.350627,114.1849161
2008,2008.0,Import,Israel,Hungary,60.0,Knitted or crocheted fabrics,2000.0,,30.8124247,34.8594762,47.1817585,19.5060937
2008,2008.0,Import,Israel,Italy,60.0,Knitted or crocheted fabrics,7300000.0,,30.8124247,34.8594762,42.6384261,12.674297
2008,2008.0,Import,Israel,Japan,60.0,Knitted or crocheted fabrics,56000.0,,30.8124247,34.8594762,36.5748441,139.2394179
2008,2008.0,Import,Israel,Jordan,60.0,Knitted or crocheted fabrics,4205000.0,,30.8124247,34.8594762,31.1667049,36.941628
2008,2008.0,Import,Israel,Rep. of Korea,60.0,Knitted or crocheted fabrics,5836000.0,,30.8124247,34.8594762,,
2008,2008.0,Import,Israel,"Other Asia, nes",60.0,Knitted or crocheted fabrics,2561000.0,,30.8124247,34.8594762,,
2008,2008.0,Import,Israel,Netherlands,60.0,Knitted or crocheted fabrics,231000.0,,30.8124247,34.8594762,52.2434979,5.6343227
2008,2008.0,Import,Israel,Poland,60.0,Knitted or crocheted fabrics,1000.0,,30.8124247,34.8594762,52.215933,19.134422
2008,2008.0,Import,Israel,Portugal,60.0,Knitted or crocheted fabrics,7000.0,,30.8124247,34.8594762,39.6621648,-8.1353519
2008,2008.0,Import,Israel,Romania,60.0,Knitted or crocheted fabrics,8000.0,,30.8124247,34.8594762,45.9852129,24.6859225
2008,2008.0,Import,Israel,India,60.0,Knitted or crocheted fabrics,119000.0,,30.8124247,34.8594762,22.3511148,78.6677428
2008,2008.0,Import,Israel,Slovakia,60.0,Knitted or crocheted fabrics,25000.0,,30.8124247,34.8594762,48.7411522,19.4528646
2008,2008.0,Import,Israel,Viet Nam,60.0,Knitted or crocheted fabrics,32000.0,,30.8124247,34.8594762,15.9266657,107.9650855
2008,2008.0,Import,Israel,Slovenia,60.0,Knitted or crocheted fabrics,11000.0,,30.8124247,34.8594762,45.8133113,14.4808369
2008,2008.0,Import,Israel,South Africa,60.0,Knitted or crocheted fabrics,147000.0,,30.8124247,34.8594762,-28.8166236,24.991639
2008,2008.0,Import,Israel,Spain,60.0,Knitted or crocheted fabrics,223000.0,,30.8124247,34.8594762,39.3260685,-4.8379791
2008,2008.0,Import,Israel,Sweden,60.0,Knitted or crocheted fabrics,8000.0,,30.8124247,34.8594762,59.6749712,14.5208584
2008,2008.0,Import,Israel,Switzerland,60.0,Knitted or crocheted fabrics,26000.0,,30.8124247,34.8594762,46.7985624,8.2319736
2008,2008.0,Import,Israel,Thailand,60.0,Knitted or crocheted fabrics,77000.0,,30.8124247,34.8594762,14.8971921,100.83273
2008,2008.0,Import,Israel,United Arab Emirates,60.0,Knitted or crocheted fabrics,499000.0,,30.8124247,34.8594762,24.0002488,53.9994829
2008,2008.0,Import,Israel,Turkey,60.0,Knitted or crocheted fabrics,24328000.0,,30.8124247,34.8594762,38.9597594,34.9249653
2008,2008.0,Import,Israel,Turkmenistan,60.0,Knitted or crocheted fabrics,26000.0,,30.8124247,34.8594762,39.3763807,59.3924609
2008,2008.0,Import,Israel,Egypt,60.0,Knitted or crocheted fabrics,678000.0,,30.8124247,34.8594762,26.2540493,29.2675469
2008,2008.0,Import,Israel,United Kingdom,60.0,Knitted or crocheted fabrics,201000.0,,30.8124247,34.8594762,54.7023545,-3.2765753
2008,2008.0,Import,Israel,USA,60.0,Knitted or crocheted fabrics,1183000.0,,30.8124247,34.8594762,39.7837304,-100.445882
