rtTitle,Subregion,rgDesc,TradeValue
Armenia,Afghanistan,Export,17500
Armenia,Afghanistan,Import,4930
Armenia,Algeria,Import,421
Armenia,Azerbaijan,Export,3569703
Armenia,Azerbaijan,Import,4346743
Armenia,Bahrain,Export,90040
Armenia,Bahrain,Import,76248
Armenia,Comoros,Import,3426
Armenia,Cyprus,Export,16843
Armenia,Cyprus,Import,682731
Armenia,Georgia,Export,64678305
Armenia,Georgia,Import,68939110
Armenia,Georgia,Re-Export,7828875
Armenia,Iraq,Export,150626012
Armenia,Iraq,Import,4963702
Armenia,Iraq,Re-Export,1606851
Armenia,Israel,Export,7632019
Armenia,Israel,Import,10416423
Armenia,Israel,Re-Export,5883413
Armenia,Jordan,Export,19643
Armenia,Jordan,Import,166506
Armenia,Kuwait,Export,350712
Armenia,Kuwait,Import,126629
Armenia,Kuwait,Re-Export,29580
Armenia,Lebanon,Export,168815
Armenia,Lebanon,Import,1332528
Armenia,Libya,Export,1040478
Armenia,Libya,Re-Export,1026886
Armenia,Malta,Export,179553
Armenia,Malta,Import,66898
Armenia,Mauritania,Export,216000
Armenia,Mauritania,Import,555
Armenia,Morocco,Export,9400
Armenia,Morocco,Import,2645003
Armenia,Oman,Export,198370
Armenia,Oman,Import,105719
Armenia,Pakistan,Export,131998
Armenia,Pakistan,Import,4226720
Armenia,Qatar,Export,918166
Armenia,Qatar,Import,1120903
Armenia,Saudi Arabia,Export,1675555
Armenia,Saudi Arabia,Import,2903873
Armenia,Saudi Arabia,Re-Export,7100
Armenia,State of Palestine,Import,97426
Armenia,United Arab Emirates,Export,73360888
Armenia,United Arab Emirates,Import,107191342
Armenia,United Arab Emirates,Re-Export,31550136
Armenia,Yemen,Export,54409
Armenia,Yemen,Import,566
